,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
146,PLYM,"Plymouth Industrial REIT, Inc.",986.25M,-0.60%,523163,199.85M
147,EFC,Ellington Financial Inc.,970.19M,1.33%,2247776,276.92M
148,AHH,"Armada Hoffler Properties, Inc.",921.35M,1.36%,443830,667.16M
149,HPP,"Hudson Pacific Properties, Inc.",918.21M,1.75%,1808932,952.30M
150,ARR,"ARMOUR Residential REIT, Inc.",916.45M,0.32%,1096638,-24.37M
151,CSR,Centerspace,892.79M,1.01%,51337,261.31M
152,BRSP,"BrightSpire Capital, Inc.",872.20M,2.38%,568978,232.72M
153,RWT,"Redwood Trust, Inc.",796.04M,-0.33%,2997599,165.63M
154,PDM,"Piedmont Office Realty Trust, Inc.",782.42M,0.80%,765515,577.76M
155,BDN,Brandywine Realty Trust,754.95M,-,1311829,514.65M
156,DX,"Dynex Capital, Inc.",730.63M,1.22%,930654,26.75M
157,CHCT,Community Healthcare Trust Incorporated,730.37M,1.18%,156640,112.85M
158,RDFN,Redfin Corporation,716.64M,-4.91%,10015124,976.67M
159,CBL,"CBL & Associates Properties, Inc.",711.31M,-0.18%,126476,535.29M
160,KREF,KKR Real Estate Finance Trust Inc.,702.15M,1.91%,601930,202.81M
161,INN,"Summit Hotel Properties, Inc.",667.08M,-1.74%,747123,736.13M
162,NYMT,"New York Mortgage Trust, Inc.",657.80M,1.55%,1532121,198.87M
163,HOUS,Anywhere Real Estate Inc.,652.99M,-11.68%,4583031,5.64B
164,GMRE,Global Medical REIT Inc.,612.59M,0.69%,599496,141.05M
165,WSR,Whitestone REIT,604.28M,-1.32%,255493,146.97M
166,REAX,The Real Brokerage Inc.,590.85M,-5.30%,604424,689.16M
167,TRTX,"TPG RE Finance Trust, Inc.",589.46M,-0.26%,483979,116.39M
168,DHC,Diversified Healthcare Trust,589.02M,-3.16%,7330466,1.41B
169,FRPH,"FRP Holdings, Inc.",578.35M,0.96%,36063,41.25M
170,PGRU,PropertyGuru Limited,576.72M,1.69%,9838,113.74M
171,GOOD,Gladstone Commercial Corporation,538.57M,-0.08%,392604,147.58M
172,FPI,Farmland Partners Inc.,530.23M,0.28%,238261,57.47M
173,CLDT,Chatham Lodging Trust,510.47M,-0.69%,222188,311.11M
174,SRG,Seritage Growth Properties,504.83M,-1.86%,351864,34.56M
175,UHT,Universal Health Realty Income Trust,488.54M,-3.11%,223391,95.58M
176,OLP,"One Liberty Properties, Inc.",479.69M,1.76%,62799,90.65M
177,LAND,Gladstone Land Corporation,468.56M,0.46%,246995,90.40M
178,FPH,"Five Point Holdings, LLC",465.71M,0.32%,27563,211.73M
179,LSEA,Landsea Homes Corporation,447.39M,-0.16%,288929,1.21B
180,IVR,Invesco Mortgage Capital Inc.,444.87M,1.10%,643744,3.87M
181,ORC,"Orchid Island Capital, Inc.",442.71M,0.70%,822474,-20.70M
182,ACRE,Ares Commercial Real Estate Corporation,419.60M,2.12%,504325,92.93M
183,MLP,"Maui Land & Pineapple Company, Inc.",416.62M,2.61%,46204,9.05M
184,STRW,Strawberry Fields REIT LLC,411.81M,-0.50%,1713,97.90M
185,RMR,The RMR Group Inc.,389.81M,-,287097,973.25M
186,PSTL,"Postal Realty Trust, Inc.",389.35M,0.29%,75746,63.71M
187,CTO,"CTO Realty Growth, Inc.",380.45M,1.15%,146404,109.12M
188,NLOP,Net Lease Office Properties,332.04M,-3.04%,208580,174.97M
189,TCI,"Transcontinental Realty Investors, Inc.",321.81M,-5.58%,9995,49.24M
190,ARL,"American Realty Investors, Inc.",314.16M,-7.46%,6680,49.76M
191,NREF,"NexPoint Real Estate Finance, Inc.",304.65M,2.40%,90854,28.68M
192,REFI,"Chicago Atlantic Real Estate Finance, Inc.",290.25M,1.63%,151289,57.15M
193,BRT,BRT Apartments Corp.,285.22M,4.33%,56363,93.62M
194,AOMR,"Angel Oak Mortgage, Inc.",262.88M,2.33%,86670,17.01M
195,AFCG,"AFC Gamma, Inc.",258.75M,1.54%,189979,64.18M
196,FLJ,FLJ Group Limited,257.96M,2.78%,21475,-
197,ILPT,Industrial Logistics Properties Trust,255.47M,1.57%,740912,437.34M
198,NEN,New England Realty Associates LP,252.23M,-,100,74.48M
199,GPMT,Granite Point Mortgage Trust Inc.,243.30M,1.70%,722679,-19.81M
200,RMAX,"RE/MAX Holdings, Inc.",242.37M,-3.08%,944796,325.67M
201,PINE,"Alpine Income Property Trust, Inc.",227.23M,0.07%,79365,45.64M
202,OPAD,Offerpad Solutions Inc.,225.37M,-1.94%,65525,1.31B
203,FSP,Franklin Street Properties Corp.,224.44M,-0.91%,837039,145.71M
204,OZ,"Belpointe PREP, LLC",217.89M,-0.25%,2621,2.16M
205,CLPR,Clipper Realty Inc.,200.88M,3.81%,132706,138.21M
206,SACH,Sachem Capital Corp.,192.76M,0.71%,338494,64.59M
207,ONL,Orion Office REIT Inc.,190.78M,1.75%,348980,195.04M
208,SEVN,Seven Hills Realty Trust,190.47M,-,63385,34.51M
209,SDHC,Smith Douglas Homes Corp.,184.08M,3.08%,544312,755.35M
210,DOUG,Douglas Elliman Inc.,180.32M,-13.71%,5327528,955.58M
211,STRS,Stratus Properties Inc.,176.23M,-2.22%,17805,26.30M
212,MITT,"AG Mortgage Investment Trust, Inc.",170.83M,-0.51%,319744,93.85M
213,CIO,"City Office REIT, Inc.",168.65M,-,271841,179.10M
214,STHO,Star Holdings,158.10M,1.71%,835083,123.05M
215,BHR,Braemar Hotels & Resorts Inc.,157.74M,-4.15%,670332,739.34M
216,MDV,Modiv Inc.,145.76M,0.50%,42396,46.94M
217,AXR,AMREP Corporation,126.78M,1.29%,2490,44.53M
218,EARN,Ellington Residential Mortgage REIT,126.65M,1.27%,195738,-2.71M
219,LFT,"Lument Finance Trust, Inc.",115.43M,-0.45%,58446,31.97M
220,CHMI,Cherry Hill Mortgage Investment Corporation,104.65M,3.00%,306545,-21.20M
221,OPI,Office Properties Income Trust,98.97M,3.57%,3867507,533.55M
222,AJX,Great Ajax Corp.,93.09M,-0.28%,578480,-17.07M
223,ACR,ACRES Commercial Realty Corp.,88.72M,2.14%,82809,91.13M
224,MAYS,"J.W. Mays, Inc.",88.69M,0.39%,130,21.71M
225,CMCT,Creative Media & Community Trust Corporation,85.45M,3.02%,26251,115.66M
226,ASPS,Altisource Portfolio Solutions S.A.,69.88M,3.95%,104689,145.07M
227,AIRE,reAlpha Tech Corp.,60.89M,1.47%,806450,-
228,DOMA,Doma Holdings Inc.,58.97M,-4.82%,11930,335.84M
229,AHT,"Ashford Hospitality Trust, Inc.",57.52M,1.47%,1538210,1.37B
