,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
116,KRO,"Kronos Worldwide, Inc.",1.30B,0.54%,297199,1.67B
117,CDE,"Coeur Mining, Inc.",1.26B,2.84%,5659566,821.21M
118,KALU,Kaiser Aluminum Corporation,1.25B,1.57%,961761,3.09B
119,CGAU,Centerra Gold Inc.,1.23B,-0.18%,275528,1.09B
120,ORLA,Orla Mining Ltd.,1.18B,-0.54%,3474177,227.46M
121,NGD,New Gold Inc.,1.17B,1.19%,24870978,786.50M
122,SA,Seabridge Gold Inc.,1.13B,0.68%,231371,-
123,CENX,Century Aluminum Company,1.12B,2.29%,2864733,2.19B
124,KOP,Koppers Holdings Inc.,1.11B,0.49%,108984,2.15B
125,FSM,Fortuna Silver Mines Inc.,1.05B,2.08%,5196794,842.43M
126,ECVT,Ecovyst Inc.,1.05B,2.00%,514063,691.12M
127,LAC,Lithium Americas Corp.,1.04B,8.01%,11755745,-
128,LOMA,Loma Negra Compañía Industrial Argentina SA,1.02B,1.76%,246378,822.75M
129,SILV,SilverCrest Metals Inc.,987.42M,6.67%,2595086,245.13M
130,MATV,"Mativ Holdings, Inc.",970.89M,1.94%,524438,2.03B
131,MAG,MAG Silver Corp.,970.81M,3.17%,862162,-
132,NEXA,Nexa Resources S.A.,960.18M,0.28%,31110,2.57B
133,MTUS,Metallus Inc,923.90M,1.62%,3154619,1.36B
134,NG,NovaGold Resources Inc.,923.64M,6.18%,3829527,-
135,PRM,"Perimeter Solutions, SA",905.01M,0.64%,760655,322.11M
136,SXC,"SunCoke Energy, Inc.",896.41M,-0.83%,1688947,2.06B
137,METC,"Ramaco Resources, Inc.",847.34M,0.48%,2427566,693.52M
138,GSM,Ferroglobe PLC,837.83M,2.76%,1883989,1.65B
139,METCB,"Ramaco Resources, Inc.",828.79M,-2.23%,53281,626.02M
140,SSRM,SSR Mining Inc.,809.93M,-2.93%,7891206,1.43B
141,LAAC,Lithium Americas (Argentina) Corp.,805.71M,-0.99%,1348833,-
142,ASTL,Algoma Steel Group Inc.,800.04M,1.70%,482602,2.14B
143,WLKP,Westlake Chemical Partners LP,797.21M,0.62%,16746,1.19B
144,REX,REX American Resources Corporation,777.16M,2.00%,142160,845.94M
145,CMP,"Compass Minerals International, Inc.",776.65M,-1.67%,739794,1.19B
146,BIOX,Bioceres Crop Solutions Corp.,774.69M,-0.16%,17294,450.32M
147,ZEUS,"Olympic Steel, Inc.",730.63M,1.64%,384437,2.16B
148,ASIX,AdvanSix Inc.,701.14M,1.35%,114947,1.53B
149,DRD,DRDGOLD Limited,698.68M,0.25%,239350,16.78M
150,NFGC,New Found Gold Corp.,697.94M,-1.89%,203584,-
151,UAN,"CVR Partners, LP",682.58M,0.09%,24158,681.48M
152,CLW,Clearwater Paper Corporation,675.51M,0.54%,543531,2.08B
153,LVRO,Lavoro Limited,626.18M,-2.01%,1799,1.90B
154,MERC,Mercer International Inc.,615.36M,0.65%,381775,1.99B
155,GATO,"Gatos Silver, Inc.",565.21M,4.88%,213452,-
156,CPAC,Cementos Pacasmayo S.A.A.,558.25M,-0.31%,1301,525.63M
157,TGB,Taseko Mines Limited,553.90M,2.69%,6473505,394.72M
158,LXU,"LSB Industries, Inc.",547.47M,4.75%,595511,593.71M
159,HDSN,"Hudson Technologies, Inc.",532.93M,1.04%,536611,289.03M
160,TMC,TMC the metals company Inc.,523.89M,-2.34%,1383619,-
161,EXK,Endeavour Silver Corp.,519.83M,3.72%,9017148,205.46M
162,ODC,Oil-Dri Corporation of America,515.12M,0.99%,19196,429.92M
163,SVM,Silvercorp Metals Inc.,505.41M,0.71%,2002987,206.65M
164,LZM,Lifezone Metals Limited,496.53M,-6.78%,25967,3.99M
165,LWLG,"Lightwave Logic, Inc.",487.47M,3.02%,922690,40.50K
166,IAUX,i-80 Gold Corp.,472.08M,-,3315679,54.91M
167,ARMN,Aris Mining Corporation,454.11M,-0.90%,226291,447.67M
168,MUX,McEwen Mining Inc.,424.80M,1.65%,483953,166.23M
169,VHI,"Valhi, Inc.",417.54M,1.93%,14554,1.98B
170,SKE,Skeena Resources Limited,399.93M,0.91%,125699,-
171,AVD,American Vanguard Corporation,370.88M,21.81%,787475,567.17M
172,FF,FutureFuel Corp.,308.97M,2.62%,1978035,368.25M
173,IPX,IperionX Limited,306.30M,0.14%,18160,-
174,GAU,Galiano Gold Inc.,304.17M,0.84%,684845,-
175,GROY,Gold Royalty Corp.,291.45M,1.52%,511192,2.61M
176,MTA,Metalla Royalty & Streaming Ltd.,283.84M,3.28%,1213911,2.91M
177,VZLA,Vizsla Silver Corp.,275.77M,5.88%,420271,-
178,RYAM,Rayonier Advanced Materials Inc.,270.09M,0.98%,397366,1.64B
179,WRN,Western Copper and Gold Corporation,256.20M,0.67%,305701,-
180,PPTA,Perpetua Resources Corp.,254.82M,1.27%,291962,-
181,IPI,"Intrepid Potash, Inc.",254.54M,4.65%,147043,279.08M
182,PLL,Piedmont Lithium Inc.,242.70M,0.56%,2072487,39.82M
183,IONR,ioneer Ltd,237.87M,-0.22%,9567,-
184,MSB,Mesabi Trust,232.88M,0.86%,48667,14.46M
185,CTGO,"Contango Ore, Inc.",229.32M,12.32%,83276,-
