,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
144,NGVC,"Natural Grocers by Vitamin Cottage, Inc.",406.81M,1.30%,43776,1.16B
145,VLGEA,"Village Super Market, Inc.",405.06M,0.99%,33230,2.20B
146,SENEA,Seneca Foods Corporation,379.14M,3.07%,103038,1.48B
147,NATR,"Nature's Sunshine Products, Inc.",378.45M,2.50%,121232,445.32M
148,SENEB,Seneca Foods Corporation,377.61M,-0.58%,968,1.48B
149,LMNR,Limoneira Company,345.33M,1.86%,116139,181.73M
150,VSTA,Vasta Platform Limited,326.99M,-0.25%,7476,288.01M
151,LINC,Lincoln Educational Services Corporation,309.02M,-0.82%,149368,378.07M
152,DDL,Dingdong (Cayman) Limited,298.53M,0.78%,162804,2.82B
153,AFRI,Forafric Global PLC,278.47M,0.39%,36075,280.40M
154,MYND,Mynd.ai Inc,218.78M,-1.64%,7718,38.46M
155,APEI,"American Public Education, Inc.",216.37M,-1.59%,113342,600.55M
156,ALCO,"Alico, Inc.",215.13M,4.13%,38645,43.24M
157,FREE,"Whole Earth Brands, Inc.",204.44M,-0.21%,373025,550.91M
158,MAMA,"Mama's Creations, Inc.",187.99M,0.60%,156800,99.38M
159,HFFG,HF Foods Group Inc.,181.41M,-0.30%,129614,1.16B
160,QSG,QuantaSing Group Ltd,170.02M,2.73%,443313,3.49B
161,LWAY,"Lifeway Foods, Inc.",161.45M,-2.14%,32047,153.87M
162,ACU,Acme United Corporation,152.22M,7.02%,24826,191.50M
163,WILC,G. Willi-Food International Ltd.,138.12M,3.75%,155,141.13M
164,STG,Sunlands Technology Group,137.76M,-8.41%,2228,302.12M
165,DIT,AMCON Distributing Company,121.03M,0.37%,394,2.62B
166,JZ,Jianzhi Education Technology Group Company Limited,116.87M,-4.04%,4018,525.98M
167,BIG,"Big Lots, Inc.",110.44M,0.80%,964515,4.83B
168,IH,iHuman Inc.,100.74M,-2.05%,49626,143.60M
169,FTLF,"FitLife Brands, Inc.",99.82M,-0.68%,1935,44.77M
