,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
167,EU,enCore Energy Corp.,748.45M,3.30%,3280639,-
168,TNP,Tsakos Energy Navigation Limited,733.51M,-2.37%,338486,860.40M
169,VTOL,Bristow Group Inc.,729.16M,-0.04%,147756,1.30B
170,VTS,"Vitesse Energy, Inc.",688.05M,0.82%,139808,233.91M
171,TK,Teekay Corporation,657.06M,-0.69%,957916,1.46B
172,NOA,North American Construction Group Ltd.,617.80M,-0.09%,105532,719.71M
173,NR,"Newpark Resources, Inc.",606.64M,0.42%,1101885,749.60M
174,LEU,Centrus Energy Corp.,604.76M,-0.68%,195271,320.20M
175,OBE,Obsidian Energy Ltd.,600.97M,-0.13%,335544,514.59M
176,PBT,Permian Basin Royalty Trust,599.86M,-,86537,29.10M
177,REPX,"Riley Exploration Permian, Inc.",593.64M,2.11%,80319,375.05M
178,EGY,"VAALCO Energy, Inc.",578.08M,3.75%,2194043,455.07M
179,CLNE,Clean Energy Fuels Corp.,562.56M,1.20%,3194615,425.16M
180,BRY,Berry Corporation,560.28M,1.80%,1653181,903.46M
181,TTI,"TETRA Technologies, Inc.",556.87M,1.67%,1170308,626.26M
182,DEC,Diversified Energy Company PLC,554.50M,-,101629,-
183,TXO,TXO Partners L.P.,541.20M,-2.55%,31960,380.72M
184,GPRK,GeoPark Limited,525.83M,0.21%,630041,787.86M
185,SD,"SandRidge Energy, Inc.",515.33M,0.73%,358361,148.64M
186,OSG,"Overseas Shipholding Group, Inc.",433.52M,0.99%,461150,451.87M
187,URG,Ur-Energy Inc.,413.99M,2.07%,5563949,17.68M
188,SGU,"Star Group, L.P.",387.41M,0.37%,12182,1.83B
189,WTI,"W&T Offshore, Inc.",380.36M,3.60%,11478572,532.66M
190,OIS,"Oil States International, Inc.",378.31M,6.25%,3096973,782.28M
191,REI,"Ring Energy, Inc.",370.14M,4.47%,4008908,361.06M
192,SOI,"Solaris Oilfield Infrastructure, Inc.",366.24M,2.89%,347034,292.95M
193,BOOM,DMC Global Inc.,354.77M,2.99%,248936,719.19M
