,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
128,LCID,"Lucid Group, Inc.",6.43B,2.66%,22239148,595.27M
129,CHH,"Choice Hotels International, Inc.",6.39B,1.62%,683965,1.54B
130,ANF,Abercrombie & Fitch Co.,6.36B,0.42%,1836213,4.28B
131,WH,"Wyndham Hotels & Resorts, Inc.",6.35B,0.24%,1494997,1.40B
132,MNSO,MINISO Group Holding Limited,6.20B,-,3539630,1.95B
133,REYN,Reynolds Consumer Products Inc.,6.06B,1.12%,3834377,3.76B
134,TMHC,Taylor Morrison Home Corporation,6.01B,-0.56%,900145,7.42B
135,BC,Brunswick Corporation,5.96B,2.80%,1278320,6.40B
136,BYD,Boyd Gaming Corporation,5.94B,-0.21%,952628,3.74B
137,GIL,Gildan Activewear Inc.,5.84B,-0.84%,354988,3.20B
138,M,"Macy's, Inc.",5.81B,-1.44%,11668484,23.87B
139,WHR,Whirlpool Corporation,5.76B,-0.53%,1401276,19.46B
140,VFC,V.F. Corporation,5.75B,1.23%,8844706,10.82B
141,MTH,Meritage Homes Corporation,5.69B,1.84%,2157661,6.14B
142,RRR,"Red Rock Resorts, Inc.",5.60B,-1.27%,678585,1.72B
143,HOG,"Harley-Davidson, Inc.",5.60B,1.21%,2262689,5.84B
144,SON,Sonoco Products Company,5.59B,0.23%,300725,6.78B
145,THO,"Thor Industries, Inc.",5.54B,2.86%,689464,10.38B
146,GLBE,Global-e Online Ltd.,5.47B,-3.07%,1545751,569.95M
147,CPRI,Capri Holdings Limited,5.46B,-0.23%,1171760,5.28B
148,PLNT,"Planet Fitness, Inc.",5.39B,-0.53%,992070,1.07B
149,RH,RH,5.30B,-0.37%,267779,3.06B
150,ASO,"Academy Sports and Outdoors, Inc.",5.28B,-0.13%,1804966,6.11B
151,SEE,Sealed Air Corporation,5.22B,0.42%,803233,5.49B
152,PII,Polaris Inc.,5.19B,1.35%,983959,8.93B
153,KBH,KB Home,5.14B,1.51%,1174358,6.41B
154,AAP,"Advance Auto Parts, Inc.",4.87B,2.82%,2059870,11.29B
155,LOT,Lotus Technology Inc.,4.86B,1.98%,38826,139.59M
156,COLM,Columbia Sportswear Company,4.77B,0.26%,1843686,3.49B
157,SLGN,Silgan Holdings Inc.,4.74B,0.27%,459685,5.99B
158,HGV,Hilton Grand Vacations Inc.,4.72B,1.78%,1043598,3.98B
159,MDC,"M.D.C. Holdings, Inc.",4.70B,-0.19%,1748401,4.64B
160,SKY,Skyline Champion Corporation,4.68B,1.22%,320283,1.98B
161,MOD,Modine Manufacturing Company,4.62B,4.53%,1210356,2.42B
162,DOOO,BRP Inc.,4.62B,-1.76%,91322,7.85B
163,AEO,"American Eagle Outfitters, Inc.",4.57B,0.35%,4474937,5.26B
164,SIG,Signet Jewelers Limited,4.43B,2.06%,548048,7.34B
165,SHAK,Shake Shack Inc.,4.38B,-0.01%,602536,1.09B
166,GME,GameStop Corp.,4.35B,-2.67%,2722081,5.71B
167,ABG,"Asbury Automotive Group, Inc.",4.28B,2.59%,172593,14.80B
168,IGT,International Game Technology PLC,4.16B,-1.01%,2723572,4.79B
169,URBN,"Urban Outfitters, Inc.",3.98B,1.25%,2016630,5.05B
170,GOLF,Acushnet Holdings Corp.,3.95B,-0.03%,290831,2.38B
171,RUSHA,"Rush Enterprises, Inc.",3.86B,1.90%,1100986,7.93B
172,RUSHB,"Rush Enterprises, Inc.",3.86B,2.57%,40932,7.93B
173,TRIP,"Tripadvisor, Inc.",3.77B,1.67%,3896995,1.79B
