,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
146,WTS,"Watts Water Technologies, Inc.",6.74B,0.82%,117781,2.06B
147,AAON,"AAON, Inc.",6.73B,1.51%,876757,1.17B
148,MTZ,"MasTec, Inc.",6.69B,0.06%,604145,12.00B
149,FLR,Fluor Corporation,6.58B,0.52%,1557285,15.47B
150,ATKR,Atkore Inc.,6.58B,2.90%,506399,3.48B
151,LSTR,"Landstar System, Inc.",6.56B,0.06%,754771,5.30B
152,CR,Crane Company,6.42B,0.02%,185258,2.42B
153,TNET,"TriNet Group, Inc.",6.35B,-0.36%,144716,4.92B
154,CAE,CAE Inc.,6.34B,0.86%,358178,3.38B
155,ATI,ATI Inc.,6.31B,2.32%,963555,4.17B
156,GTLS,"Chart Industries, Inc.",6.04B,-0.87%,294503,3.35B
157,HXL,Hexcel Corporation,6.02B,-0.46%,554580,1.79B
158,FTAI,FTAI Aviation Ltd,6.00B,4.56%,1745331,1.17B
159,TKR,The Timken Company,6.00B,-0.30%,403202,4.77B
160,GXO,"GXO Logistics, Inc.",5.98B,-1.38%,997485,9.78B
161,ESAB,ESAB Corporation,5.97B,0.55%,347345,2.77B
162,MLI,"Mueller Industries, Inc.",5.95B,1.85%,630075,3.42B
163,FLS,Flowserve Corporation,5.81B,0.20%,734222,4.32B
164,ADT,ADT Inc.,5.77B,-7.53%,19828243,4.98B
165,LPX,Louisiana-Pacific Corporation,5.67B,2.76%,1402826,2.58B
166,BECN,"Beacon Roofing Supply, Inc.",5.64B,2.18%,800045,9.12B
167,DRS,"Leonardo DRS, Inc.",5.64B,-,1780751,2.83B
168,CWST,"Casella Waste Systems, Inc.",5.48B,1.67%,406938,1.26B
169,MSM,"MSC Industrial Direct Co., Inc.",5.45B,-0.24%,376729,4.01B
170,ZWS,Zurn Elkay Water Solutions Corporation,5.39B,0.51%,616538,1.53B
171,SPXC,"SPX Technologies, Inc.",5.37B,0.46%,231711,1.74B
172,AWI,"Armstrong World Industries, Inc.",5.36B,0.69%,329279,1.30B
173,AL,Air Lease Corporation,5.23B,1.60%,4108916,2.68B
174,KEX,Kirby Corporation,5.17B,0.07%,496464,3.09B
175,MMS,"Maximus, Inc.",5.06B,-0.65%,679216,4.98B
176,R,"Ryder System, Inc.",5.00B,-0.58%,228223,11.78B
177,MOG.A,Moog Inc.,4.94B,0.70%,268392,3.42B
178,MOG.B,Moog Inc.,4.89B,7.90%,55,3.42B
179,SRCL,"Stericycle, Inc.",4.84B,0.58%,817045,2.66B
180,ALK,"Alaska Air Group, Inc.",4.81B,0.05%,2869606,10.43B
181,FSS,Federal Signal Corporation,4.78B,0.60%,280557,1.72B
182,FELE,"Franklin Electric Co., Inc.",4.69B,0.85%,297746,2.07B
183,GATX,GATX Corporation,4.66B,0.11%,160663,1.41B
184,MDU,"MDU Resources Group, Inc.",4.62B,-0.84%,2226172,4.66B
185,HRI,Herc Holdings Inc.,4.45B,0.18%,121715,3.28B
186,GTES,Gates Industrial Corporation plc,4.45B,-0.06%,3808671,3.57B
187,AVAV,"AeroVironment, Inc.",4.45B,-6.01%,1172371,705.78M
188,CPA,"Copa Holdings, S.A.",4.36B,-0.51%,118111,2.97B
189,VMI,"Valmont Industries, Inc.",4.34B,1.19%,210720,4.17B
190,ERJ,Embraer S.A.,4.34B,-0.64%,2476754,4.54B
191,DY,"Dycom Industries, Inc.",4.16B,2.15%,428196,4.18B
192,EXPO,"Exponent, Inc.",4.00B,2.08%,710063,536.77M
193,ACA,"Arcosa, Inc.",3.96B,0.88%,402932,2.31B
194,SNDR,"Schneider National, Inc.",3.96B,1.85%,1456360,5.50B
195,TEX,Terex Corporation,3.96B,1.23%,504825,5.15B
196,VRRM,Verra Mobility Corporation,3.91B,1.07%,2219370,817.31M
197,CAR,"Avis Budget Group, Inc.",3.82B,0.14%,576040,12.01B
198,CAAP,Corporación América Airports S.A.,3.79B,-0.54%,140049,1.65B
199,OMAB,"Grupo Aeroportuario del Centro Norte, SAB de CV",3.77B,1.04%,84058,612.67M
200,CBZ,"CBIZ, Inc.",3.76B,0.82%,444486,1.59B
201,GMS,GMS Inc.,3.75B,1.85%,1338443,5.39B
202,BCO,The Brink's Company,3.75B,0.66%,178289,4.87B
203,SPR,"Spirit AeroSystems Holdings, Inc.",3.75B,4.30%,2882578,6.05B
204,KAI,Kadant Inc.,3.72B,0.31%,99349,957.67M
205,ENS,EnerSys,3.69B,0.46%,177260,3.66B
206,NSP,"Insperity, Inc.",3.67B,0.13%,405486,6.49B
207,ATS,ATS Corporation,3.65B,-1.16%,33828,2.20B
208,MATX,"Matson, Inc.",3.64B,-0.23%,241713,3.09B
209,JOBY,"Joby Aviation, Inc.",3.59B,-0.59%,5909825,1.23M
210,AEIS,"Advanced Energy Industries, Inc.",3.57B,-1.11%,888112,1.66B
211,CSWI,"CSW Industrials, Inc.",3.57B,-0.42%,173164,777.67M
212,WIRE,Encore Wire Corporation,3.56B,1.70%,492983,2.57B
213,MAN,ManpowerGroup Inc.,3.52B,0.68%,233072,18.91B
214,GFF,Griffon Corporation,3.48B,0.47%,1512761,2.68B
215,CXT,"Crane NXT, Co.",3.46B,1.44%,460335,1.39B
216,HI,"Hillenbrand, Inc.",3.38B,3.55%,375921,2.94B
217,STRL,"Sterling Infrastructure, Inc.",3.32B,-1.03%,482107,1.97B
218,KFY,Korn Ferry,3.31B,0.41%,1038843,2.83B
219,REZI,"Resideo Technologies, Inc.",3.29B,0.04%,2508740,6.24B
220,ENOV,Enovis Corporation,3.27B,-0.88%,276791,1.71B
221,CRS,Carpenter Technology Corporation,3.26B,1.96%,302798,2.72B
222,NPO,"EnPro Industries, Inc.",3.26B,0.74%,83246,1.06B
223,JBT,John Bean Technologies Corporation,3.24B,0.61%,147946,1.66B
224,UNF,UniFirst Corporation,3.18B,1.28%,127479,2.28B
225,WOR,"Worthington Industries, Inc.",3.17B,3.02%,988909,4.61B
226,SEB,Seaboard Corporation,3.13B,-1.19%,19172,9.56B
227,HAYW,"Hayward Holdings, Inc.",3.06B,0.07%,553378,992.45M
228,ARCB,ArcBest Corporation,3.02B,-0.50%,494633,4.43B
229,MGRC,McGrath RentCorp,2.93B,0.30%,338712,831.84M
230,DOOR,Masonite International Corporation,2.87B,-0.23%,520370,2.83B
231,ICFI,"ICF International, Inc.",2.87B,0.49%,123107,1.96B
232,BRC,Brady Corporation,2.82B,1.37%,691620,1.34B
233,ROAD,"Construction Partners, Inc.",2.72B,-1.68%,411526,1.62B
234,ABM,ABM Industries Incorporated,2.68B,1.49%,692695,8.17B
235,SKYW,"SkyWest, Inc.",2.67B,0.32%,2837273,2.94B
236,MYRG,MYR Group Inc.,2.63B,2.49%,276154,3.64B
237,KTOS,"Kratos Defense & Security Solutions, Inc.",2.59B,-1.61%,2489301,1.04B
238,HUBG,"Hub Group, Inc.",2.59B,-0.22%,998999,4.20B
239,GOGL,Golden Ocean Group Limited,2.56B,-0.70%,4473794,885.77M
240,LZ,"LegalZoom.com, Inc.",2.50B,-2.03%,2518572,660.73M
241,ALG,Alamo Group Inc.,2.47B,0.42%,52071,1.69B
242,MWA,"Mueller Water Products, Inc.",2.41B,-0.39%,730592,1.22B
243,WERN,"Werner Enterprises, Inc.",2.40B,-0.68%,752642,3.28B
244,PGTI,"PGT Innovations, Inc.",2.40B,-0.10%,1302697,1.50B
245,GVA,Granite Construction Incorporated,2.39B,-,341520,3.51B
246,JBLU,JetBlue Airways Corporation,2.39B,-2.09%,10642651,9.62B
247,RXO,"RXO, Inc.",2.37B,-1.68%,1016061,3.93B
248,ROCK,"Gibraltar Industries, Inc.",2.33B,2.86%,601485,1.38B
249,FA,First Advantage Corporation,2.32B,-0.81%,645003,763.76M
250,HTZ,"Hertz Global Holdings, Inc.",2.29B,1.20%,3995550,9.37B
251,PLUG,Plug Power Inc.,2.28B,-0.30%,24828461,891.34M
252,MIR,"Mirion Technologies, Inc.",2.25B,3.62%,1116867,800.90M
253,AIR,AAR Corp.,2.23B,-2.27%,328961,2.17B
254,ATMU,Atmus Filtration Technologies Inc.,2.20B,-1.06%,4841505,1.63B
255,JBI,"Janus International Group, Inc.",2.16B,1.38%,684982,1.07B
256,PRIM,Primoris Services Corporation,2.16B,0.50%,535814,5.72B
257,SXI,Standex International Corporation,2.14B,0.95%,120974,735.83M
258,TRN,"Trinity Industries, Inc.",2.13B,2.00%,1664072,2.98B
259,TNC,Tennant Company,2.12B,1.79%,213638,1.24B
260,HEES,"H&E Equipment Services, Inc.",2.11B,2.86%,422261,1.47B
261,BE,Bloom Energy Corporation,2.08B,2.55%,3977502,1.33B
262,IESC,"IES Holdings, Inc.",2.07B,0.43%,199982,2.44B
263,HNI,HNI Corporation,2.05B,1.30%,329522,2.43B
264,RKLB,"Rocket Lab USA, Inc.",2.04B,-1.20%,13662038,244.59M
265,ENR,"Energizer Holdings, Inc.",2.02B,-1.02%,845684,2.91B
266,SBLK,Star Bulk Carriers Corp.,2.00B,-0.46%,1660917,949.27M
267,POWL,"Powell Industries, Inc.",1.95B,-1.05%,1010829,766.47M
268,KMT,Kennametal Inc.,1.90B,-0.37%,567973,2.07B
269,HLMN,Hillman Solutions Corp.,1.90B,1.44%,1360990,1.48B
270,UP,Wheels Up Experience Inc.,1.90B,-2.21%,1406272,1.25B
271,EPAC,Enerpac Tool Group Corp.,1.86B,3.94%,412787,600.79M
272,B,Barnes Group Inc.,1.85B,-0.76%,316565,1.45B
273,AZZ,AZZ Inc.,1.82B,1.10%,98382,1.51B
274,CODI,Compass Diversified,1.77B,0.94%,200960,2.06B
275,SFL,SFL Corporation Ltd.,1.76B,-2.14%,819731,752.29M
276,HURN,Huron Consulting Group Inc.,1.76B,0.54%,237577,1.40B
277,MRCY,"Mercury Systems, Inc.",1.75B,-2.24%,844775,895.17M
278,GIC,Global Industrial Company,1.70B,0.43%,144848,1.27B
279,ULCC,"Frontier Group Holdings, Inc.",1.66B,0.68%,1582174,3.59B
280,GEO,"The GEO Group, Inc.",1.66B,5.37%,3851082,2.41B
281,UPWK,Upwork Inc.,1.64B,-2.37%,2469381,689.14M
282,JELD,"JELD-WEN Holding, Inc.",1.60B,-0.05%,326456,4.30B
283,HOLI,Hollysys Automation Technologies Ltd.,1.58B,-0.35%,379281,786.22M
284,DSGR,"Distribution Solutions Group, Inc.",1.58B,4.82%,112795,1.57B
285,NVEE,"NV5 Global, Inc.",1.55B,0.04%,107572,861.74M
286,BBU,Brookfield Business Partners L.P.,1.53B,-1.99%,12317,55.07B
287,ACHR,Archer Aviation Inc.,1.52B,2.66%,8028649,-
288,MRTN,"Marten Transport, Ltd.",1.51B,-0.11%,2736861,1.13B
289,GBX,"The Greenbrier Companies, Inc.",1.51B,0.81%,241819,3.99B
290,SCS,Steelcase Inc.,1.46B,1.11%,458912,3.19B
291,NSSC,"Napco Security Technologies, Inc.",1.43B,-1.12%,491393,177.41M
292,HLIO,"Helios Technologies, Inc.",1.40B,-0.71%,184323,835.60M
293,PRG,"PROG Holdings, Inc.",1.40B,0.13%,473099,2.41B
294,EVEX,"Eve Holding, Inc.",1.40B,4.83%,90680,-
295,VVX,"V2X, Inc.",1.39B,-0.56%,188249,3.96B
296,CDLR,Cadeler A/S,1.36B,5.03%,371730,-
297,DAC,Danaos Corporation,1.36B,0.13%,80482,973.58M
298,CDRE,"Cadre Holdings, Inc.",1.34B,-2.30%,1418211,482.53M
299,KFRC,Kforce Inc.,1.34B,0.51%,285400,1.53B
300,ENVX,Enovix Corporation,1.34B,1.03%,4944910,7.64M
301,CMRE,Costamare Inc.,1.32B,-0.09%,276251,1.51B
302,KAMN,Kaman Corporation,1.30B,0.04%,395321,775.85M
303,CTOS,"Custom Truck One Source, Inc.",1.29B,0.94%,493222,1.87B
304,FLYX,"flyExclusive, Inc.",1.28B,-7.81%,138654,497.41M
305,LNN,Lindsay Corporation,1.27B,1.54%,99036,659.28M
306,WNC,Wabash National Corporation,1.27B,5.33%,719953,2.54B
307,APOG,"Apogee Enterprises, Inc.",1.26B,1.29%,379749,1.40B
308,NMM,Navios Maritime Partners L.P.,1.26B,0.17%,171164,1.35B
